czas[s],pozycja_x[pixel],wyjscie regulatora_x,bład errox_x,pozycja_y[pixel],wyjscie regulatora y,bład error_y
12.87,310,-9,-10,252,-6,12
12.94,310,-6,-10,249,-14,9
13.01,310,-6,-10,246,-11,6
13.06,310,-6,-10,239,2,-1
13.11,310,-6,-10,237,-12,-3
13.16,311,-1,-9,233,-6,-7
13.22,311,-6,-9,226,4,-14
13.27,314,11,-6,217,13,-23
13.31,314,-5,-6,214,-10,-26
13.41,315,-1,-5,206,7,-34
13.47,315,-5,-5,203,-4,-37
13.52,316,0,-4,197,5,-43
13.57,316,-5,-4,194,-3,-46
13.62,319,10,-1,187,9,-53
13.68,323,17,3,178,18,-62
13.73,325,6,5,175,0,-65
13.79,327,7,7,170,7,-70
13.84,330,13,10,166,6,-74
13.89,330,-2,10,163,3,-77
13.94,331,4,11,158,10,-82
13.99,331,-1,11,157,-1,-83
14.04,331,-1,11,154,5,-86
14.09,331,-1,11,150,9,-90
14.15,331,-1,11,149,1,-91
14.2,331,-1,11,146,8,-94
14.3,329,-5,9,146,0,-94
14.37,326,-17,6,145,3,-95
14.42,325,-5,5,145,1,-95
14.5,322,-16,2,145,1,-95
14.56,320,-11,0,146,-1,-94
14.62,317,-18,-3,148,-4,-92
14.67,314,-14,-6,151,-4,-89
14.76,311,-16,-9,155,-7,-85
14.82,306,-27,-14,161,-13,-79
14.89,303,-18,-17,163,-3,-77
14.95,298,-31,-22,167,-10,-73
15.01,295,-20,-25,173,-12,-67
15.08,291,-27,-29,178,-12,-62
15.14,288,-25,-32,183,-13,-57
15.19,284,-27,-36,189,-14,-51
15.26,282,-22,-38,195,-17,-45
15.31,279,-28,-41,202,-21,-38
15.37,278,-19,-42,209,-22,-31
15.43,277,-19,-43,212,-10,-28
15.49,274,-31,-46,218,-21,-22
15.54,274,-16,-46,222,-13,-18
15.6,271,-30,-49,228,-20,-12
15.66,272,-14,-48,230,-9,-10
15.72,270,-27,-50,234,-16,-6
15.78,270,-19,-50,239,-20,-1
15.83,269,-24,-51,242,-15,2
15.89,269,-20,-51,245,-15,5
15.94,268,-24,-52,246,-9,6
16.0,268,-21,-52,249,-14,9
16.06,268,-21,-52,251,-13,11
16.12,269,-16,-51,252,-11,12
16.17,270,-16,-50,253,-11,13
16.22,270,-21,-50,253,-8,13
16.28,270,-22,-50,253,-8,13
16.33,271,-18,-49,251,-3,11
16.39,273,-14,-47,250,-6,10
16.46,274,-18,-46,250,-8,10
16.53,272,-28,-48,247,-3,7
16.63,272,-23,-48,246,-5,6
16.7,273,-18,-47,246,-7,6
16.75,274,-19,-46,245,-5,5
16.8,274,-24,-46,242,-1,2
16.88,275,-19,-45,241,-4,1
16.93,276,-20,-44,237,4,-3
16.98,275,-30,-45,234,4,-6
17.03,276,-20,-44,232,0,-8
17.09,279,-11,-41,230,0,-10
17.14,280,-21,-40,229,-3,-11
17.21,281,-20,-39,228,-2,-12
17.27,284,-13,-36,227,-3,-13
17.34,287,-11,-33,226,-2,-14
17.4,288,-20,-32,226,-4,-14
17.46,292,-10,-28,226,-4,-14
17.53,296,-4,-24,226,-4,-14
17.59,300,-3,-20,226,-4,-14
17.64,303,-8,-17,226,-4,-14
17.7,306,-13,-14,226,-4,-14
17.8,311,1,-9,227,-7,-13
17.86,316,3,-4,226,-1,-14
17.92,321,2,1,226,-4,-14
17.98,326,3,6,226,-4,-14
18.05,328,-8,8,226,-4,-14
18.11,335,12,15,224,1,-16
18.18,339,3,19,225,-6,-15
18.24,343,3,23,224,-1,-16
18.3,346,1,26,225,-6,-15
18.37,349,3,29,226,-6,-14
18.43,351,-1,31,229,-11,-11
18.49,352,-6,32,230,-6,-10
18.57,350,-18,30,234,-14,-6
18.63,346,-27,26,235,-7,-5
18.69,342,-25,22,238,-11,-2
18.76,341,-15,21,238,-5,-2
18.81,337,-27,17,242,-15,2
18.88,329,-49,9,247,-19,7
18.93,327,-22,7,249,-12,9
18.99,322,-37,2,253,-18,13
19.04,318,-33,-2,256,-15,16
19.1,314,-32,-6,259,-15,19
19.16,312,-26,-8,262,-17,22
19.21,310,-26,-10,265,-17,25
19.27,306,-37,-14,268,-18,28
19.32,304,-28,-16,270,-15,30
19.38,302,-26,-18,270,-10,30
19.45,301,-24,-19,271,-13,31
19.5,298,-35,-22,271,-10,31
19.56,298,-21,-22,272,-13,32
19.61,297,-25,-23,272,-11,32
19.68,297,-21,-23,272,-11,32
19.74,296,-25,-24,272,-11,32
19.81,298,-12,-22,273,-14,33
19.87,298,-22,-22,273,-11,33
19.92,298,-22,-22,273,-12,33
19.98,299,-18,-21,273,-12,33
20.05,299,-22,-21,270,-4,30
20.11,298,-27,-22,269,-9,29
20.17,298,-22,-22,269,-12,29
20.23,299,-18,-21,267,-7,27
20.29,301,-15,-19,266,-9,26
20.37,302,-18,-18,264,-6,24
20.43,305,-8,-15,261,-3,21
20.48,306,-17,-14,258,-3,18
20.54,307,-16,-13,255,-2,15
20.59,310,-5,-10,251,2,11
20.68,312,-14,-8,246,0,6
20.73,314,-12,-6,241,3,1
20.79,317,-8,-3,236,3,-4
20.86,321,-3,1,230,7,-10
20.92,322,-14,2,229,-5,-11
20.99,326,2,6,221,17,-19
21.04,327,-13,7,217,5,-23
21.1,330,-5,10,213,5,-27
21.17,333,-4,13,209,5,-31
21.23,334,-11,14,205,8,-35
21.29,335,-10,15,202,6,-38
21.34,337,-8,17,198,6,-42
21.42,337,-14,17,198,-2,-42
21.46,338,-8,18,194,12,-46
21.51,338,-14,18,194,-1,-46
21.6,338,-13,18,194,-1,-46
21.65,338,-13,18,195,-3,-45
21.73,337,-16,17,197,-4,-43
21.8,337,-13,17,197,0,-43
21.86,334,-27,14,199,-6,-41
21.95,331,-22,11,203,-7,-37
22.01,330,-18,10,206,-8,-34
22.08,329,-19,9,210,-11,-30
22.15,325,-29,5,217,-16,-23
22.22,322,-28,2,219,-7,-21
22.28,318,-35,-2,229,-31,-11
22.33,314,-36,-6,234,-17,-6
22.39,311,-33,-9,241,-25,1
22.44,309,-29,-11,246,-20,6
22.49,306,-34,-14,253,-27,13
22.54,306,-20,-14,258,-23,18
22.59,304,-30,-16,260,-13,20
22.64,302,-32,-18,265,-24,25
22.7,300,-32,-20,267,-15,27
22.74,299,-25,-21,269,-12,29
22.83,298,-28,-22,271,-16,31
22.87,297,-28,-23,272,-13,32
22.93,296,-25,-24,274,-12,34
23.07,296,-24,-24,274,-11,34
23.13,296,-24,-24,275,-14,35
23.2,296,-24,-24,274,-9,34
23.25,296,-24,-24,274,-11,34
23.31,298,-16,-22,274,-11,34
23.37,300,-16,-20,270,-2,30
23.44,299,-27,-21,270,-11,30
23.51,300,-21,-20,267,-5,27
23.59,301,-19,-19,266,-8,26
23.64,302,-20,-18,262,-1,22
23.71,305,-11,-15,258,0,18
23.77,306,-19,-14,254,1,14
23.83,309,-10,-11,250,1,10
23.9,310,-18,-10,245,5,5
23.95,313,-6,-7,239,11,-1
24.0,314,-16,-6,233,13,-7
24.04,315,-17,-5,228,6,-12
24.11,315,-21,-5,225,3,-15
24.16,314,-26,-6,219,12,-21
24.21,315,-19,-5,214,4,-26
24.31,315,-21,-5,210,9,-30
24.36,314,-27,-6,208,3,-32
24.45,314,-22,-6,205,3,-35
24.5,314,-22,-6,203,4,-37
24.56,314,-22,-6,202,1,-38
24.67,315,-19,-5,201,0,-39
24.72,315,-22,-5,202,-4,-38
24.78,318,-8,-2,203,-4,-37
24.85,319,-16,-1,205,-6,-35
24.9,320,-16,0,206,-4,-34
24.96,322,-14,2,215,-20,-25
25.03,323,-16,3,218,-9,-22
25.1,325,-12,5,225,-19,-15
25.16,326,-15,6,230,-15,-10
25.23,326,-19,6,234,-14,-6
25.29,327,-14,7,241,-26,1
25.34,330,-9,10,251,-24,11
25.42,332,-9,12,258,-26,18
25.48,333,-14,13,261,-15,21
25.54,335,-9,15,266,-21,26
25.61,338,-2,18,273,-29,33
25.67,341,-3,21,278,-23,38
25.78,343,-10,23,284,-20,44
25.84,345,-7,25,289,-22,49
25.92,347,-5,27,294,-25,54
25.98,349,-4,29,298,-24,58
26.04,351,-4,31,302,-25,62
26.11,353,-3,33,307,-29,67
26.17,354,-7,34,310,-23,70
26.24,353,-14,33,311,-20,71
26.31,352,-15,32,312,-21,72
26.36,352,-10,32,312,-19,72
26.43,351,-13,31,311,-17,71
26.51,350,-14,30,310,-17,70
26.57,350,-10,30,306,-7,66
26.63,349,-15,29,303,-10,63
26.68,349,-10,29,302,-16,62
26.72,347,-20,27,296,0,56
26.77,347,-10,27,292,-6,52
26.82,347,-10,27,288,-10,48
26.9,347,-10,27,286,-12,46
26.95,347,-9,27,281,-1,41
27.08,349,-4,29,278,-13,38
27.12,351,1,31,273,-3,33
27.18,353,1,33,270,-9,30
27.24,355,2,35,262,5,22
27.3,355,-6,35,260,-10,20
27.36,361,22,41,249,15,9
27.43,361,-4,41,246,-6,6
27.48,364,11,44,241,2,1
27.53,367,3,47,234,-5,-6
27.67,369,9,49,229,4,-11
27.72,371,8,51,226,-3,-14
27.78,372,3,52,218,3,-22
27.88,373,5,53,216,-5,-24
27.95,374,7,54,214,-2,-26
27.99,372,-9,52,203,27,-37
28.04,372,2,52,202,-4,-38
28.1,369,-12,49,200,-1,-40
28.15,364,-13,44,197,-1,-43
28.24,359,-17,39,198,-8,-42
28.32,356,-13,36,198,-6,-42
28.38,351,-25,31,198,-5,-42
28.43,345,-29,25,201,-14,-39
28.49,342,-16,22,202,-8,-38
28.54,331,-51,11,207,-18,-33
28.61,325,-24,5,211,-13,-29
28.69,320,-23,0,217,-18,-23
28.77,315,-38,-5,221,-21,-19
28.82,313,-19,-7,224,-17,-16
28.87,307,-33,-13,229,-19,-11
28.93,302,-32,-18,234,-21,-6
29.01,295,-41,-25,241,-26,1
29.06,291,-33,-29,245,-21,5
29.11,290,-19,-30,247,-15,7
29.2,288,-23,-32,250,-18,10
29.25,286,-27,-34,254,-24,14
29.3,287,-11,-33,254,-12,14
29.37,287,-17,-33,256,-16,16
29.42,287,-17,-33,258,-18,18
29.48,288,-13,-32,258,-13,18
29.54,290,-9,-30,257,-10,17
29.6,291,-12,-29,258,-15,18
29.66,294,-5,-26,258,-13,18
29.72,296,-5,-24,258,-13,18
29.77,300,6,-20,260,-20,20
29.82,304,-5,-16,259,-12,19
29.92,308,6,-12,258,-10,18
29.97,312,3,-8,257,-11,17
